model,mean_cv_score,mean_rmse_cv_score,train_rmse,test_rmse
LinearRegression,0.9343,0.0928,16415.05041,16900.65195
Lasso,0.9342,0.0931,16390.44121,16922.13956
Ridge,0.9344,0.0927,16404.58521,16897.74785
StatsModel,,,16453.80941,17031.27683
LocationBasedSM,,,15189.5361,16697.08528
RandomForestUntuned,0.9306,,12666.36777,20028.21034
RandomForestTuned,0.92101,,198.0014633,19859.06165
XGBoostUntuned,0.9306,,12666.36777,20028.21034
XGBoostTuned,0.9331,,11966.8393,18209.11169
LightGBMUntuned,,,9024.919788,21787.22915
LightGBMTuned,0.9333,,10955.68106,18457.31242
ANN,,,16210.57511,17411.40599
PCR,0.9338,0.0931,16518.93465,16922.99545
