PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FlrSF1st,FlrSF2nd,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,MapRefNo,Prop_Addr,YearBuilt_Group,HouseAge,RemodAge,TotalSF,TotalBath,RoadRail,GoodGarageType,Zone,CulDSac,Exterior1st_top,TwoStory,ExQual,LargerHouse,Remod,ExBsmtQual,HasFireplace,ExKitchen,ExterQual,BsmtQual,KitchenQual,ExterCond,Location_2,Location_3,Location_4,Foundation_CBlock,Foundation_PConc,Foundation_Slab,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,full_address,latitude,longitude
905476230,1049,139500,120,RL,42.0,4235,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,TA,Mn,GLQ,552.0,ALQ,393.0,104.0,1049.0,GasA,TA,1,SBrkr,1049,0,0,1.0,0.0,2,0,2,1,5,Typ,0,None,Attchd,1984.0,Fin,1.0,266.0,TA,TA,Y,0,105,0,0,0,None,None,0,2,2009,WD ,Normal,905476230.0,3416 WEST ST,1980-1999,25,25,2098.0,3.0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,0,0,0,1,0,0,0,0,0,1,"3416 WEST ST, Iowa, United STATES",42.024855315930424,-93.66367099341755
535377150,1039,114000,70,RL,80.0,8146,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,No,Unf,0.0,Unf,0.0,405.0,405.0,GasA,Gd,1,SBrkr,717,322,0,0.0,0.0,1,0,2,1,6,Typ,0,None,Detchd,1940.0,Unf,1.0,281.0,TA,TA,N,0,0,168,0,111,None,None,0,5,2009,WD ,Normal,535377150.0,1524 DOUGLAS AVE,Before 1900,109,6,1444.0,1.0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,"1524 DOUGLAS AVE, Iowa, United STATES",41.62940224489796,-93.63842573469388
534177230,1665,227000,60,RL,70.0,8400,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,2Story,8,6,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,No,GLQ,643.0,Unf,0.0,167.0,810.0,GasA,Ex,1,SBrkr,810,855,0,1.0,0.0,2,1,3,1,6,Typ,0,None,Attchd,2001.0,Fin,2.0,528.0,TA,TA,Y,0,45,0,0,0,None,None,0,11,2009,WD ,Normal,534177230.0,2304 FILLMORE AVE,2000 and later,8,8,2475.0,3.5,0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,1,0,0,0,1,0,0,0,0,0,"2304 FILLMORE AVE, Iowa, United STATES",42.04455376067282,-93.63181831620726
908128060,1922,198500,85,RL,64.0,7301,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,None,None,None,0.0,None,0.0,0.0,0.0,GasA,Ex,1,SBrkr,495,1427,0,0.0,0.0,3,0,4,1,7,Typ,1,Ex,BuiltIn,2003.0,RFn,2.0,672.0,TA,TA,Y,0,0,177,0,0,None,None,0,7,2009,ConLD,Normal,908128060.0,4003 MARIGOLD DR,2000 and later,6,6,1922.0,3.0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,0,0,0,0,0,1,0,0,0,0,"4003 MARIGOLD DR, Iowa, United STATES",42.018988,-93.6715721070941
902135020,936,93000,20,RM,60.0,6000,Pave,Pave,Reg,Bnk,AllPub,Inside,Mod,OldTown,Norm,Norm,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,No,Unf,0.0,Unf,0.0,936.0,936.0,GasA,TA,0,SBrkr,936,0,0,0.0,0.0,1,0,2,1,4,Min2,0,None,Detchd,1974.0,Unf,2.0,576.0,TA,TA,Y,0,32,112,0,0,None,None,0,2,2009,WD ,Normal,902135020.0,212 10TH ST 210,1940-1979,56,56,1872.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0,0,0,1,0,0,1,0,0,0,"212 10TH ST 210, Iowa, United STATES",41.58412185714286,-93.62937046938775
923426010,889,137500,20,RL,74.0,12395,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Story,5,6,1984,1984,Gable,CompShg,HdBoard,Plywood,None,0.0,TA,No,ALQ,647.0,Unf,0.0,217.0,864.0,GasA,TA,1,SBrkr,889,0,0,0.0,0.0,1,0,3,1,6,Typ,0,None,Attchd,1984.0,Unf,2.0,484.0,TA,TA,Y,0,0,0,0,0,None,None,0,4,2008,WD ,Normal,923426010.0,602 KEN MARIL RD,1980-1999,24,24,1753.0,1.0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1,0,0,1,0,0,0,0,0,0,"602 KEN MARIL RD, Iowa, United STATES",41.986495735956744,-93.6036188257733
908186050,1072,140000,180,RM,35.0,3675,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,SFoyer,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,TA,Gd,GLQ,467.0,Unf,0.0,80.0,547.0,GasA,Ex,1,SBrkr,1072,0,0,1.0,0.0,1,0,2,1,5,Typ,0,None,Basment,2005.0,Fin,2.0,525.0,TA,TA,Y,0,44,0,0,0,None,None,0,5,2007,WD ,Normal,908186050.0,3901 MARIGOLD DR,2000 and later,2,2,1619.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,0,0,0,0,1,0,0,0,0,1,"3901 MARIGOLD DR, Iowa, United STATES",42.018963681474496,-93.67006654263754
528186170,1342,219500,120,RL,48.0,6240,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,196.0,TA,No,GLQ,24.0,Unf,0.0,1318.0,1342.0,GasA,Ex,1,SBrkr,1342,0,0,0.0,0.0,2,0,2,1,6,Typ,1,Gd,Attchd,2007.0,RFn,2.0,550.0,TA,TA,Y,0,35,0,0,0,None,None,0,2,2008,WD ,Normal,528186170.0,3629 CHILTON AVE,2000 and later,2,1,2684.0,2.0,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,3.0,2.0,0,0,1,0,1,0,0,0,0,1,"3629 CHILTON AVE, Iowa, United STATES",41.036593,-92.411182
902204080,861,80000,30,RM,62.0,7404,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,No,Unf,0.0,Unf,0.0,861.0,861.0,GasA,TA,1,SBrkr,861,0,0,0.0,0.0,1,0,2,1,5,Typ,0,None,Detchd,1920.0,Unf,2.0,288.0,TA,TA,N,0,0,128,0,0,None,None,0,11,2009,Oth,Normal,902204080.0,1102 CARROLL AVE,1900-1939,89,59,1722.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,"1102 CARROLL AVE, Iowa, United STATES",42.54089676923077,-96.27296584615384
535105100,1394,159000,20,RL,65.0,9500,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,TA,No,BLQ,609.0,Unf,0.0,785.0,1394.0,GasA,Gd,1,SBrkr,1394,0,0,1.0,0.0,1,1,3,1,6,Typ,2,Gd,Attchd,1963.0,RFn,2.0,514.0,TA,TA,Y,0,76,0,0,185,None,None,0,7,2009,WD ,Normal,535105100.0,2519 KELLOGG AVE,1940-1979,46,46,2788.0,2.5,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,1,0,0,1,0,0,0,0,0,0,"2519 KELLOGG AVE, Iowa, United STATES",42.04690161396658,-93.61572103026556
907405020,1536,214000,20,RL,70.0,9135,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,TA,Av,GLQ,810.0,Unf,0.0,726.0,1536.0,GasA,Ex,1,SBrkr,1536,0,0,1.0,0.0,2,0,3,1,7,Typ,0,None,Attchd,2002.0,RFn,2.0,532.0,TA,TA,Y,192,74,0,0,0,None,None,0,12,2008,WD ,Normal,907405020.0,812 TENNYSON AVE,2000 and later,6,5,3072.0,3.0,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,0,1,0,0,1,0,0,0,0,0,"812 TENNYSON AVE, Iowa, United STATES",42.01590809090909,-93.68765221212121
531382110,1680,163000,60,RL,50.0,8480,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,TA,No,GLQ,602.0,Unf,0.0,284.0,886.0,GasA,Ex,1,SBrkr,886,794,0,0.0,1.0,2,1,3,1,7,Typ,0,None,Attchd,1993.0,RFn,2.0,474.0,TA,TA,Y,144,96,0,0,0,None,None,0,10,2008,WD ,Normal,531382110.0,5220 MARYLAND ST,1980-1999,15,14,2566.0,3.0,0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,1,0,0,0,1,0,0,0,0,0,"5220 MARYLAND ST, Iowa, United STATES",42.03586941394644,-93.68920687419867
909101060,864,67000,30,RL,45.0,8248,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,No,BLQ,41.0,Unf,0.0,823.0,864.0,GasA,TA,0,FuseF,864,0,0,1.0,0.0,1,0,2,1,5,Typ,0,None,None,1914.0,None,0.0,0.0,None,None,N,0,0,100,0,0,None,None,0,9,2008,WD ,Normal,909101060.0,2910 WOOD ST,1900-1939,94,58,1728.0,2.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,"2910 WOOD ST, Iowa, United STATES",42.02208247765018,-93.65692684113985
